1a, 49.29350335976501, -123.14793715513473
1b, 49.28934953489012, -123.13861587427333
1c, 49.290155358467054, -123.13122627121551
2a, 49.28459498372468, -123.1248715063886
2b, 49.28532735846092, -123.11185197122823
2c, 49.2810903588616, -123.10759762892283
3a, 49.275911958577694, -123.12105794266878
3b, 49.278690462035755, -123.11231872510197
3c, 49.284241858875355, -123.11750592892949
4a, 49.28123135925554, -123.09344848664968
4b, 49.28102188104893, -123.08246250717261
4c, 49.26969178409428, -123.07882989242701
5a, 49.28113755866226, -123.04931420007311
5b, 49.2812626590661, -123.06559745778864
5c, 49.26955562506637, -123.06575433148303
6a, 49.281076165612944, -123.02833808848644
6b, 49.26951725612249, -123.03360587247012
6c, 49.26941945865197, -123.04414670008241
7a, 49.25821755845092, -123.03370617121072
7b, 49.24788115865683, -123.03388720007906
7c, 49.2382289638785, -123.03184802861944
8a, 49.23748800068388, -123.04883440382845
8b, 49.247956566150094, -123.04963212832507
8c, 49.257988658660835, -123.04955380007425
9a, 49.236949164066694, -123.0654383286193
9b, 49.24762355126458, -123.06508260069867
9c, 49.25865466718636, -123.06596439883481
10a, 49.259679260839555, -123.08338472862928
10b, 49.24857320314966, -123.0839274922656
10c, 49.23563173443119, -123.08476224612552
11a, 49.258374158663194, -123.09838638656797
11b, 49.24740917376524, -123.09683112769264
11c, 49.236288359062065, -123.09939045779106
12a, 49.2587431613744, -123.11504458634064
12b, 49.268106353815206, -123.11494975623293
12c, 49.26990094331104, -123.09810190226024
13a, 49.24699674373821, -123.11573413016573 
13b, 49.237246064029016, -123.11592832861929
13c, 49.23596435905607, -123.13245825778459
14a, 49.24823236205951, -123.13203167090748
14b, 49.25786715886244, -123.13396012893921
14c, 49.26980773763801, -123.13227409126127
15a, 49.26982852336779, -123.15030894534912
15b, 49.27008725565492, -123.16631040194412
15c, 49.25752935179866, -123.16648230100284
16a, 49.25819195865258, -123.15073890007847
16b, 49.24757465536375, -123.14893035809328
16c, 49.25243576227527, -123.17293208634527
17a, 49.26946692502166, -123.18361213148448
17b, 49.268766789532506, -123.19998872349673
17c, 49.26890022477677, -123.2196262314928
18a, 49.2580163637079, -123.18404588603588
18b, 49.25827975803508, -123.2031788134997
18c, 49.258539521917925, -123.21617886557812
20a, 49.24913094868726, -123.2045855385985
20b, 49.24615995885211, -123.18524372894322
20c, 49.236428953371686, -123.1853140003871
21a, 49.237151384485465, -123.20532857117401
21b, 49.22557625845544, -123.18556167122706
21c, 49.216897966705574, -123.17320519976256
22a, 49.22576941958536, -123.16843030129174
22b, 49.23474925865617, -123.16738630006441
22c, 49.23446694198568, -123.15058800099793
23a, 49.22417195864962, -123.14809300006462
23b, 49.21506222520193, -123.1484200724648
23c, 49.21302459079503, -123.13419000197268
24a, 49.223933991065365, -123.1319867038259
24b, 49.225207445102214, -123.11641802955792
24c, 49.2132249847836, -123.11716345687755
25a, 49.21429397570164, -123.09789842830855
25b, 49.22463757972596, -123.0975571280092
25c, 49.22536213831016, -123.0828569298556
26a, 49.22518955885228, -123.06578862893318
26b, 49.22471415885652, -123.04114482892892
26c, 49.224661352109656, -123.03228355810153
27a, 49.213532425729696, -123.03569830607107
27b, 49.21425931328355, -123.053077935169
27c, 49.21450993435089, -123.06601061235912
29a, 49.203237129904146, -123.1348223666373
29b, 49.20605111582715, -123.1173290172421
29c, 49.213824167335474, -123.08570562862661
